FunctionalGroupName,FunctionalGroupIndex,TemperatureCurve1,TemperatureCurve2,TemperatureCurve3,TemperatureCurve4,FractionANPPtoLeaf,LeafBiomassToLAI,KLAI,MaximumLAI,MoistureCurve2,MoistureCurve3,WoodDecayRate,MonthlyWoodMortality,LongevityMortalityShape,FoliageDropMonth,CoarseRootFraction,FineRootFraction
Broadlea,2,24,44,1,3,0.3,-0.9,20000,8,1,0.8,0.17,0.0011,17,9,0.2,0.5
CastCren,2,25,45,1,3,0.3,-0.9,20000,8,1,0.8,0.17,0.0012,17,9,0.19,0.5
ChamObtu,1,27,45,1,3,0.2,-0.9,4000,15,1,0.8,0.09,0.001,15,10,0.23,0.2
Conifero,1,27,45,1,3,0.2,-0.9,20000,9,1,0.8,0.16,0.0011,18,10,0.24,0.24
CrypJapo,1,27,45,1,3,0.2,-0.9,16000,10,1,0.8,0.08,0.0017,25,10,0.3,0.6
LariKaem,1,27,45,1,3,0.2,-0.9,4000,12,1,0.8,0.09,0.0006,22,10,0.22,0.2
PinuDens,1,27,45,1,3,0.2,-0.9,20000,7,1,0.8,0.25,0.0011,14,10,0.23,0.2
PinuKora,1,27,45,1,3,0.2,-0.9,16000,7,1,0.8,0.25,0.0011,14,10,0.23,0.2
PinuRigi,1,27,45,1,3,0.2,-0.9,4000,7,1,0.8,0.25,0.0011,14,10,0.23,0.2
PinuThun,1,27,45,1,3,0.2,-0.9,18000,7,1,0.8,0.25,0.0011,14,10,0.23,0.2
Quercuss,2,25,45,1,3,0.3,-0.9,12000,7,1,0.8,0.12,0.0019,19,9,0.19,0.5
